Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
3.5713e-05	2	0	0	0	24.063
3.5713e-05	2	0	0	0	23.7145
3.5713e-05	2	0	0	0	39.3071
3.5713e-05	2	0	0	0	24.578
3.5713e-05	2	0	0	0	40.8801
3.5713e-05	2	0	0	0	25.7161
3.5713e-05	2	0	0	0	28.8735
3.5713e-05	2	0	0	0	46.189
3.5713e-05	2	0	0	0	29.6746
3.5713e-05	2	0	0	0	21.2948
3.5713e-05	2	0	0	0	41.8752
3.5713e-05	2	0	0	0	36.8348
3.5713e-05	2	0	0	0	29.8997
3.5713e-05	2	0	0	0	45.5897
3.5713e-05	2	0	0	0	37.0768
0.00503571	2	0	0	0	30.1188
0.00503571	2	0	0	0	41.896
0.00503571	2	0	0	0	34.9339
0.00503571	2	0	0	0	28.3209
0.00503571	2	0	0	0	48.1795
0.00503571	2	0	0	0	27.6181
0.00503571	2	0	0	0	16.0745
0.00503571	2	0	0	0	41.6516
0.00503571	2	0	0	0	39.3523
0.00503571	2	0	0	0	36.5453
0.00503571	2	0	0	0	35.381
0.00503571	2	0	0	0	31.516
0.00503571	2	0	0	0	44.8736
0.00503571	2	0	0	0	38.9241
0.00503571	2	0	0	0	45.8365
0.0100357	2	0	0	0	30.1188
0.0100357	2	0	0	0	41.896
0.0100357	2	0	0	0	34.9339
0.0100357	2	0	0	0	28.3209
0.0100357	2	0	0	0	48.1795
0.0100357	2	0	0	0	27.6181
0.0100357	2	0	0	0	16.0745
0.0100357	2	0	0	0	41.6516
0.0100357	2	0	0	0	39.3523
0.0100357	2	0	0	0	36.5453
0.0100357	2	0	0	0	35.381
0.0100357	2	0	0	0	31.516
0.0100357	2	0	0	0	44.8736
0.0100357	2	0	0	0	38.9241
0.0100357	2	0	0	0	45.8365
0.0150357	2	0	0	0	30.1188
0.0150357	2	0	0	0	41.896
0.0150357	2	0	0	0	34.9339
0.0150357	2	0	0	0	28.3209
0.0150357	2	0	0	0	48.1795
0.0150357	2	0	0	0	27.6181
0.0150357	2	0	0	0	16.0745
0.0150357	2	0	0	0	41.6516
0.0150357	2	0	0	0	39.3523
0.0150357	2	0	0	0	36.5453
0.0150357	2	0	0	0	35.381
0.0150357	2	0	0	0	31.516
0.0150357	2	0	0	0	44.8736
0.0150357	2	0	0	0	38.9241
0.0150357	2	0	0	0	45.8365
0.0180357	2	0	0	0	30.1188
0.0180357	2	0	0	0	41.896
0.0180357	2	0	0	0	34.9339
0.0180357	2	0	0	0	28.3209
0.0180357	2	0	0	0	48.1795
0.0180357	2	0	0	0	27.6181
0.0180357	2	0	0	0	16.0745
0.0180357	2	0	0	0	41.6516
0.0180357	2	0	0	0	39.3523
0.0180357	2	0	0	0	36.5453
0.0180357	2	0	0	0	35.381
0.0180357	2	0	0	0	31.516
0.0180357	2	0	0	0	44.8736
0.0180357	2	0	0	0	38.9241
0.0180357	2	0	0	0	45.8365
0.0200357	2	3	0	0	30.1188
0.0200357	2	4	0	0	41.896
0.0200357	2	5	0	0	34.9339
0.0200357	2	6	0	0	28.3209
0.0200357	2	7	0	0	48.1795
0.0200357	2	8	0	0	27.6181
0.0200357	2	9	0	0	16.0745
0.0200357	2	10	0	0	41.6516
0.0200357	2	11	0	0	39.3523
0.0200357	2	12	0	0	36.5453
0.0200357	2	13	0	0	35.381
0.0200357	2	14	0	0	31.516
0.0200357	2	15	0	0	44.8736
0.0200357	2	2	0	0	38.9241
0.0200357	2	1	0	0	45.8365
0.0250357	2	3	0	0	30.1188
0.0250357	2	4	0	0	41.896
0.0250357	2	5	0	0	34.9339
0.0250357	2	6	0	0	28.3209
0.0250357	2	7	0	0	48.1795
0.0250357	2	8	0	0	27.6181
0.0250357	2	9	0	0	16.0745
0.0250357	2	10	0	0	41.6516
0.0250357	2	11	0	0	39.3523
0.0250357	2	12	0	0	36.5453
0.0250357	2	13	0	0	35.381
0.0250357	2	14	0	0	31.516
0.0250357	2	15	0	0	44.8736
0.0250357	2	2	0	0	38.9241
0.0250357	2	1	0	0	45.8365
0.0300357	2	3	0	0	30.1188
0.0300357	2	4	0	0	41.896
0.0300357	2	5	0	0	34.9339
0.0300357	2	6	0	0	28.3209
0.0300357	2	7	0	0	48.1795
0.0300357	2	8	0	0	27.6181
0.0300357	2	9	0	0	16.0745
0.0300357	2	10	0	0	41.6516
0.0300357	2	11	0	0	39.3523
0.0300357	2	12	0	0	36.5453
0.0300357	2	13	0	0	35.381
